"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Tgfbr2",-0.0089,0.928418391050492,1,0.267,0.262,"No","NS"
"Spag5",-0.0089,0.94210606099799,1,0.22,0.219,"No","NS"
"Fam49b",-0.0089,0.987558591442322,1,0.518,0.499,"No","NS"
"Ftsj1",-0.009,0.683795639631112,1,0.102,0.098,"No","NS"
"Timm9",-0.0091,0.0860089939642222,1,0.388,0.35,"No","NS"
"Gpatch2",-0.0091,0.62665638066615,1,0.247,0.249,"No","NS"
"Ppp5c",-0.0091,0.762273754077815,1,0.364,0.349,"No","NS"
"Oaz2",-0.0092,0.199964526562214,1,0.303,0.279,"No","NS"
"Smim15",-0.0092,0.684831554157399,1,0.42,0.407,"No","NS"
"Cpsf4",-0.0093,0.190370382029064,1,0.168,0.152,"No","NS"
"4833420G17Rik",-0.0093,0.865091321283096,1,0.27,0.267,"No","NS"
"Cdc6",-0.0094,0.175926084321222,1,0.147,0.131,"No","NS"
"E2f4",-0.0094,0.299387078171503,1,0.259,0.239,"No","NS"
"Marf1",-0.0094,0.968576663376327,1,0.273,0.269,"No","NS"
"Ddx52",-0.0095,0.340024048279204,1,0.314,0.293,"No","NS"
"Ints12",-0.0095,0.902508248245007,1,0.109,0.107,"No","NS"
"Ess2",-0.0095,0.96571632990358,1,0.1,0.1,"No","NS"
"Vps11",-0.0095,0.991697626813161,1,0.105,0.105,"No","NS"
"Uck2",-0.0096,0.392121078155848,1,0.403,0.378,"No","NS"
"Yrdc",-0.0096,0.747554202671607,1,0.254,0.253,"No","NS"
"Rnf169",-0.0096,0.747919037601708,1,0.26,0.259,"No","NS"
"Trabd",-0.0096,0.755970880690865,1,0.265,0.264,"No","NS"
"Fxr2",-0.0097,0.654321794111642,1,0.31,0.296,"No","NS"
"Ndufv2",-0.0097,0.749305555941769,1,0.649,0.634,"No","NS"
"Tbc1d10b",-0.0097,0.858496522241282,1,0.157,0.158,"No","NS"
"2310009A05Rik",-0.0098,0.129721924045476,1,0.202,0.182,"No","NS"
"Rela",-0.0099,0.209167302657054,1,0.246,0.223,"No","NS"
"Abcf3",-0.0099,0.250554775645957,1,0.163,0.149,"No","NS"
"Tut1",-0.0099,0.432990275754541,1,0.109,0.116,"No","NS"
"Arhgap39",-0.0099,0.45040730423661,1,0.122,0.13,"No","NS"
"Anapc7",-0.0099,0.696458975069974,1,0.293,0.292,"No","NS"
"Ptcd2",-0.01,0.200409782545887,1,0.202,0.183,"No","NS"
"Ccdc22",-0.01,0.339135110933353,1,0.147,0.135,"No","NS"
"Rbl2",-0.01,0.628418288169829,1,0.128,0.131,"No","NS"
"Ttc27",-0.01,0.949700076521361,1,0.191,0.188,"No","NS"
"Dhx30",-0.0101,0.674383160341606,1,0.354,0.349,"No","NS"
"Phrf1",-0.0101,0.825562225793887,1,0.334,0.323,"No","NS"
"Prps1",-0.0102,0.097405700034448,1,0.215,0.192,"No","NS"
"Arsb",-0.0103,0.497389772571013,1,0.137,0.129,"No","NS"
"Atp7a",-0.0103,0.788459659202506,1,0.151,0.148,"No","NS"
"Bcl2l13",-0.0103,0.994066499538838,1,0.194,0.193,"No","NS"
"Scamp2",-0.0104,0.195384006783973,1,0.25,0.229,"No","NS"
"Usp25",-0.0104,0.373104737037987,1,0.3,0.282,"No","NS"
"Pum1",-0.0104,0.674368712314487,1,0.65,0.633,"No","NS"
"Rassf3",-0.0104,0.734145540629947,1,0.142,0.144,"No","NS"
"Dusp3",-0.0105,0.578183247191417,1,0.176,0.169,"No","NS"
"Pex6",-0.0105,0.655674932832127,1,0.144,0.139,"No","NS"
"Sqor",-0.0106,0.361477669209523,1,0.117,0.108,"No","NS"
"Rida",-0.0106,0.410142271912993,1,0.204,0.191,"No","NS"
"Ccdc71",-0.0106,0.43730915660069,1,0.172,0.161,"No","NS"
"Uchl5",-0.0106,0.781640433727066,1,0.36,0.347,"No","NS"
"Borcs8",-0.0107,0.486601091069276,1,0.157,0.163,"No","NS"
"Retreg3",-0.0107,0.489660411822777,1,0.127,0.118,"No","NS"
"Kptn",-0.0107,0.740476740888185,1,0.103,0.105,"No","NS"
"Slc35a2",-0.0108,0.499820352359162,1,0.152,0.158,"No","NS"
"Rhno1",-0.0108,0.97820276880077,1,0.276,0.271,"No","NS"
"Leng8",-0.0109,0.476118415851348,1,0.177,0.184,"No","NS"
"Vdac1",-0.0109,0.7586207647322,1,0.783,0.774,"No","NS"
"Spg7",-0.0109,0.793638631487925,1,0.389,0.372,"No","NS"
"Rmdn1",-0.0109,0.90972552135436,1,0.262,0.257,"No","NS"
"Jdp2",-0.0109,0.998274530170699,1,0.117,0.117,"No","NS"
"Dusp18",-0.011,0.262995359966263,1,0.11,0.098,"No","NS"
"Snx14",-0.0111,0.644173594950354,1,0.179,0.172,"No","NS"
"Ppp6r1",-0.0111,0.743353492514983,1,0.143,0.138,"No","NS"
"Usp31",-0.0111,0.794162939817367,1,0.195,0.195,"No","NS"
"Pigm",-0.0111,0.93310597290433,1,0.105,0.103,"No","NS"
"Cbwd1",-0.0112,0.90485569695823,1,0.206,0.201,"No","NS"
"Atad2b",-0.0113,0.11609710266444,1,0.337,0.353,"No","NS"
"Frrs1",-0.0113,0.184759340581019,1,0.191,0.173,"No","NS"
"Flvcr1",-0.0113,0.861274572693546,1,0.148,0.144,"No","NS"
"Trp53bp1",-0.0113,0.935191441390916,1,0.189,0.187,"No","NS"
"Map2k5",-0.0114,0.288174211827539,1,0.327,0.333,"No","NS"
"Uchl1",-0.0114,0.379918978592218,1,0.225,0.208,"No","NS"
"Sorbs1",-0.0114,0.558034608006762,1,0.284,0.286,"No","NS"
"Cep57l1",-0.0114,0.778749730915258,1,0.284,0.272,"No","NS"
"Uvssa",-0.0114,0.798099928466846,1,0.098,0.1,"No","NS"
"Srsf2",-0.0115,0.421148295715701,1,0.699,0.662,"No","NS"
"Rgl2",-0.0115,0.456725514221313,1,0.137,0.142,"No","NS"
