"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01572",1.50674719913825e-46,0.48929211678642,0.416,0.246,5.51484542356593e-42
"SDK2",1.9247705112717e-46,0.412037153199575,0.483,0.317,7.04485254830555e-42
"HS3ST2",4.80795932544159e-46,0.346432853891449,0.329,0.171,1.75976119270488e-41
"CSMD2",7.87937716056519e-46,-0.404793742620817,0.767,0.821,2.88393083453847e-41
"GALNT7",1.22030686549226e-45,0.354581834392129,0.27,0.128,4.4664451583882e-41
"PCSK2",1.34646694215014e-45,-0.447343859088418,0.57,0.69,4.92820365496374e-41
"RPL13A",3.87651170037454e-45,0.495736059696755,0.732,0.676,1.41884204745409e-40
"LINC00342",7.83012189230469e-45,-0.321039123014855,0.704,0.789,2.86590291380244e-40
"CHSY3",7.83169706979853e-45,-0.365045673568539,0.565,0.706,2.86647944451696e-40
"ARFGEF3",1.10904043271544e-44,-0.38533690571947,0.581,0.673,4.05919888778178e-40
"CHL1-AS2",1.13583717055731e-44,0.279273400692387,0.154,0.047,4.15727762795683e-40
"JPX",2.20740884558574e-44,0.445411455119964,0.665,0.513,8.07933711572835e-40
"CDH12",2.47547188511713e-44,-0.557356439367774,0.555,0.662,9.06047464671721e-40
"SYN2",4.25626824548936e-44,0.5297788682974,0.594,0.457,1.55783674053156e-39
"CNTN1",9.30469490621168e-44,0.41746481723971,0.777,0.769,3.40561138262254e-39
"E2F3",1.22428538000266e-43,0.356895730533501,0.302,0.158,4.48100691934775e-39
"PTPRK",1.87725798450259e-43,-0.663919774471538,0.731,0.753,6.87095194907792e-39
"CEP135",2.10857063386245e-43,-0.412379148503811,0.239,0.366,7.71757937699996e-39
"GRM3",2.51838590216206e-43,-0.479023086525411,0.53,0.649,9.21754424050334e-39
"CSNK1A1",2.54398577983513e-43,-0.336332909217246,0.633,0.716,9.31124235277455e-39
"THBS1",3.38826770548526e-43,-0.279872047357163,0.065,0.163,1.24013986288466e-38
"AC004158.1",3.56482810707866e-43,0.406060246563056,0.482,0.305,1.30476273547186e-38
"PSD3",6.23893979084223e-43,0.429578769919484,0.804,0.791,2.28351435284617e-38
"SLC8A1",6.31348606672671e-43,-0.295669216912762,0.868,0.911,2.31079903528264e-38
"CAMK4",1.34984277110565e-42,-0.346998487919487,0.606,0.713,4.94055952652378e-38
"ARL17A",1.72676694404929e-42,-0.294112458304454,0.118,0.234,6.32013969191482e-38
"CDH11",2.15083992313482e-42,0.314849933903498,0.776,0.713,7.87228920266575e-38
"NPNT",2.55367303560186e-42,-0.427438226037221,0.175,0.301,9.34669867760638e-38
"FRMPD4",5.65692343470925e-42,-0.336768076501932,0.776,0.842,2.07049054633793e-37
"RPL19",7.27853302103204e-42,0.516656159337201,0.551,0.426,2.66401587102794e-37
"NEFL",1.10022220518246e-41,-0.281463918723981,0.07,0.167,4.02692329318834e-37
"MGST1",1.33644957197911e-41,0.413184317885908,0.35,0.207,4.89153907840075e-37
"DNAH10",1.35392289614252e-41,0.510587765590922,0.25,0.125,4.95549319217124e-37
"ATP8A2",1.40008229401329e-41,0.552442829323585,0.761,0.732,5.12444120431805e-37
"CDK17",1.44822407042475e-41,0.460293723785302,0.49,0.33,5.30064492016163e-37
"STUM",3.93401490722922e-41,0.272925109019662,0.316,0.169,1.43988879619497e-36
"SHC3",5.68881818026903e-41,0.31428282019679,0.554,0.384,2.08216434216027e-36
"SLITRK5",3.00430701162533e-40,-0.422196267616884,0.409,0.518,1.09960640932499e-35
"SGK1",3.08591426981066e-40,-0.399630853777558,0.434,0.549,1.1294754818934e-35
"ANO3",5.81168876363101e-40,-0.46871269725198,0.341,0.461,2.12713620437659e-35
"PCCA",6.1955260876626e-40,0.328082781927573,0.63,0.481,2.26762450334539e-35
"PKIA",8.33185096187174e-40,-0.364809318921838,0.537,0.637,3.04954077055467e-35
"SH3D19",8.92260032289793e-40,0.304073616777265,0.387,0.229,3.26576094418387e-35
"NTRK2",1.56763057144034e-39,-0.314201454680588,0.673,0.756,5.73768465452877e-35
"PBX3",7.73651360971644e-39,-0.273335568737124,0.151,0.277,2.83164134629231e-34
"DTNA",1.66235960455424e-38,0.424210931893924,0.681,0.59,6.08440238862897e-34
"MPP6",2.14039799874413e-38,-0.345563726905383,0.637,0.712,7.83407071520339e-34
"FAT3",2.76580905137171e-38,-0.338750852971589,0.742,0.831,1.01231377089256e-33
"KIAA0319",3.0878380566949e-38,-0.35122238109374,0.623,0.718,1.1301796071309e-33
"PALMD",3.17647323460053e-38,0.355536779958299,0.19,0.08,1.16262096859614e-33
"AMPH",4.59964071119397e-38,0.368538918027931,0.402,0.253,1.68351449670411e-33
"GUCY1A2",8.31879198736615e-38,-0.351133813440859,0.756,0.838,3.04476105529589e-33
"PCSK6",8.78145515481437e-38,0.253330536119393,0.22,0.101,3.21410040121361e-33
"SCN9A",1.38474610804306e-37,0.442683672225862,0.666,0.603,5.06830923004841e-33
"DANT2",1.45836531243164e-37,0.39528986032486,0.644,0.515,5.33776288003104e-33
"PCED1B",1.94408914426567e-37,-0.357493666607558,0.133,0.244,7.11556067692678e-33
"LGI1",2.60196452907066e-37,-0.306688750591748,0.167,0.284,9.52345037285152e-33
"GSE1",1.33376368362134e-36,-0.2622737468362,0.216,0.343,4.88170845842248e-32
"ST8SIA4",1.41756826359711e-36,0.38321212423998,0.449,0.298,5.18844160159178e-32
"ADAMTSL1",1.59127463777944e-36,0.569279555337188,0.658,0.574,5.82422430173654e-32
"AGBL4",2.20708023905851e-36,0.486490417783533,0.533,0.402,8.07813438297806e-32
"TUBB2B",5.15038930503913e-36,-0.290351622918922,0.538,0.629,1.88509398953737e-31
"PCDH11X",7.99813458461815e-36,-0.34253177514472,0.646,0.748,2.92739723931609e-31
"HCN1",1.14719073975352e-35,-0.316760550861404,0.554,0.662,4.19883282657185e-31
"KCNIP4",1.4093450725603e-35,-0.674243476939274,0.465,0.585,5.15834390007796e-31
"SORBS2",2.197673582661e-35,-0.294092564681487,0.669,0.767,8.04370507989752e-31
