SYMBOL,log2FoldChange,pvalue,padj,kd3_female_sig
Prnp,0.546539863192375,2.53984512388107e-30,1.43005374975094e-27,Up after KD
Plcb4,0.75512173238424,3.86556728340416e-7,1.43280462567306e-5,Up after KD
Ism1,0.764644500791046,0.019251572536796,0.101214136805281,Up after KD
Rin2,0.508689440000305,6.41411561102523e-4,0.00769954345022967,Up after KD
Cst3,0.566401103136969,1.36470690418983e-62,5.37876481171353e-59,Up after KD
Acss1,1.81656400196882,8.24897029809213e-10,6.09598905029008e-8,Up after KD
Pygb,0.59594516293214606,7.18516480700116e-11,6.50376799775211e-9,Up after KD
Ptgis,1.75777549102362,0.0168174530909009,NA,Up after KD
Ube2v1,-1.79155575231997,0.0420584136230527,NA,Down after KD
Il7,1.16466515246049,0.00754056656129384,0.0506301300515266,Up after KD
Hey1,0.617712826897007,0.00446558453867836,0.0341975852236612,Up after KD
4931440P22Rik,1.36098777013315,0.0373134170334295,0.159737090153248,Up after KD
Crct1,-0.581581668078369,1.46625489369554e-11,1.49456878129794e-9,Down after KD
Tdrkh,-0.634613650849188,0.0216155475002648,0.109597870344396,Down after KD
Adamtsl4,0.533551476051284,2.34833495924215e-6,7.15636921599978e-5,Up after KD
Gstm1,0.916975028929216,4.46836495675143e-16,8.25530425759826e-14,Up after KD
Ntng1,2.67486780031779,0.0335472279350647,NA,Up after KD
Frrs1,-0.511306757982295,2.01149502467197e-4,0.0030068163301797,Down after KD
A730020M07Rik,0.617954326672843,0.0213770204113001,0.108808389730182,Up after KD
Synpo2,0.7061864176862,1.95811219346931e-4,0.00294563849562101,Up after KD
Ank2,0.846973991546288,4.0497461905178e-4,0.00525046041191693,Up after KD
Lef1,-1.01009417815018,5.43700285518321e-4,0.00664809945808545,Down after KD
Dkk2,1.21898308111634,0.0346385848890678,0.152029186239175,Up after KD
Fbxl4,0.509188561901391,0.0249285205375331,0.120751670149853,Up after KD
Pnrc1,0.712747935385384,4.95718623565076e-18,1.17227540100669e-15,Up after KD
Igfbpl1,1.75248350761151,0.00166430666522665,0.0162098533852059,Up after KD
Abca1,0.692690579444236,1.19869797561875e-4,0.00195188838159229,Up after KD
Rgs3,1.07780491940165,0.0105104424639377,0.0650997756383442,Up after KD
Adamtsl1,1.2138982398681,0.00363259190133332,0.0291395974500442,Up after KD
Cyp2j6,0.58348602593154,2.93506407558862e-4,0.00404566507156191,Up after KD
Nfia,0.531213306810874,1.09720677560228e-5,2.59987433160749e-4,Up after KD
Ror1,0.653343713038614,0.0194203825880517,0.101784842074966,Up after KD
Raver2,1.70240128469552,0.0216963262717243,NA,Up after KD
Pde4b,-0.788916884211961,2.75149675330371e-9,1.81752500620464e-7,Down after KD
Tmem53,0.79136926284508,2.54728109866929e-5,5.38802356183644e-4,Up after KD
Gjb4,-0.536590572898706,0.0150947444979504,0.0848290204105351,Down after KD
Epb41,0.593501962162831,0.0101510543223522,0.0636532612933965,Up after KD
Man1c1,0.782657931035709,8.16277880772297e-4,0.00928730696900493,Up after KD
Id3,0.527067023414761,4.97115808261554e-54,9.79649552814102e-51,Up after KD
E2f2,-0.732378446428676,0.0366107389186464,0.158034621782336,Down after KD
Vwa1,1.19564357449216,3.54021710527872e-5,7.13109489826502e-4,Up after KD
Mxra8,0.651276027148044,2.22549329079777e-37,2.19285272253274e-34,Up after KD
Cdk6,-1.07090128820775,2.28168715406402e-18,5.8649280238376e-16,Down after KD
Abcb1b,-0.63205606639709,5.55812513362921e-5,0.00105657992893942,Down after KD
Mapre3,0.516312202444369,1.36426250408494e-6,4.48084440230566e-5,Up after KD
Emilin1,0.948692295078699,4.05515020246832e-21,1.37888393532868e-18,Up after KD
Fgfbp1,1.12200701478644,0.00803439824927753,0.0531015790382658,Up after KD
Hopx,0.852598731547724,8.00694669114244e-27,3.78696550704273e-24,Up after KD
Spink2,-1.34581148745077,0.025545483186237,0.122812116129426,Down after KD
Ereg,-0.556534864354349,5.39392555122255e-4,0.00661595183793106,Down after KD
Areg,-1.21811476559742,7.49811882039784e-12,7.98718530922379e-10,Down after KD
Btc,-1.20223744808071,0.0371911085033577,0.159562585226335,Down after KD
Prkg2,-0.851221094680852,6.92832128034965e-37,5.85146220134674e-34,Down after KD
Spp1,-0.584524553226691,1.3181947495792e-46,1.94829183987806e-43,Down after KD
Lrrc8b,-0.564630068235103,0.00175073390060315,0.0167604768982685,Down after KD
Alkbh2,-0.505833303527709,0.0463560712577494,0.184054461568713,Down after KD
Lmtk2,-0.722581318634053,0.00173106390586677,0.0166137172264356,Down after KD
Fam180a,0.580396460557067,0.0247093339083399,0.120053269678437,Up after KD
Ptn,1.70863329344015,1.14639294821508e-13,1.7158164835057e-11,Up after KD
Kdm7a,0.946433840594383,1.22283522963666e-4,0.00198609941692635,Up after KD
Ggct,-0.803706554272384,0.00515316288549283,0.0379010734166391,Down after KD
Thnsl2,0.921552094395658,0.0484343343458489,0.18938761825894,Up after KD
Atoh8,0.658263819021334,2.06126655135552e-7,8.37540058530162e-6,Up after KD
Tcf7l1,0.502449367977695,8.66258452706831e-6,2.11624792248049e-4,Up after KD
Stambp,0.516353336576563,2.41255572045862e-4,0.00346610678477554,Up after KD
Frmd4b,0.764911656522559,0.0437386856996339,0.176462386790356,Up after KD
Usp18,1.8303628606415,7.26170164860187e-5,0.00132095938912413,Up after KD
Borcs5,0.516239440146415,0.0108423434433473,0.0667707650386141,Up after KD
Dhx34,0.623263384211472,0.00494434509877405,0.036838019185825,Up after KD
Dact3,0.527537233299812,7.79652121046059e-5,0.00138968689903508,Up after KD
Tgfb1,-0.666889726307358,0.00254521306332051,0.0222757951596608,Down after KD
Zfp36,0.756490053340378,1.43604706786979e-16,2.97891588254252e-14,Up after KD
Fcgrt,0.891224724267585,3.24178969559159e-10,2.62540557264897e-8,Up after KD
Cemip,0.874387142044599,2.93222724470235e-21,1.05062590731396e-18,Up after KD
Me3,0.775871379730758,0.0403758027416329,0.167863393676887,Up after KD
Tenm4,-1.10883007598167,0.0276685545662782,0.129616873689253,Down after KD
Gdpd5,0.8019542036002,0.00109185410828318,0.0115578182420236,Up after KD
Stard10,0.636916711137885,9.25463839883315e-6,2.25158116106591e-4,Up after KD
Stim1,0.881609806117557,0.00476532649283287,0.0358906523193475,Up after KD
Plekha7,0.68784139327506,7.36682526126497e-4,0.00857850950412318,Up after KD
Fgfr2,0.547748289197589,1.63512615128492e-8,9.03445402466956e-7,Up after KD
Htra1,0.663971870424582,1.67926174199042e-8,9.23515852897431e-7,Up after KD
Fam53b,0.560201322815248,0.0157477404542502,0.0874595035843377,Up after KD
Ptpre,0.540346955356896,1.28083582072595e-8,7.31623320978922e-7,Up after KD
Ifitm1,1.39650771213571,1.25347928201078e-8,7.19472768470652e-7,Up after KD
Cd81,0.58255685713536,2.51859433942827e-36,1.98532396462666e-33,Up after KD
Mrgpre,0.780574178475588,0.00926645678478803,0.0594501275221561,Up after KD
Mrgprf,0.785954097223914,9.23432066153683e-5,0.00159164150877568,Up after KD
Evi5l,0.615941346790328,0.00979874568021037,0.0620569731777222,Up after KD
Gas6,0.685297884853219,2.79329913098296e-33,1.73831415393382e-30,Up after KD
Sfrp1,0.775888547287113,7.41739121361398e-42,7.97302124634288e-39,Up after KD
Dusp4,-0.502864555864998,0.001128333531026,0.0118801564299656,Down after KD
Pdgfrl,0.774157367806048,4.08160840126048e-21,1.37888393532868e-18,Up after KD
Stox2,0.529425247651537,0.00449126618200869,0.0342832352072761,Up after KD
Dctd,-0.656684839009191,1.01352575251261e-9,7.35210337282764e-8,Down after KD
Lzts1,0.870870520142533,0.00657717906741162,0.045800097345745,Up after KD
Bst2,0.690262203209722,2.99815125151934e-11,2.90574921294793e-9,Up after KD
Abcc12,0.976784999690378,0.0039645608509037,0.0313139395464832,Up after KD
Pdgfd,0.592398213853007,4.74044689020341e-5,9.14372659539399e-4,Up after KD
Bmper,-0.50953991261695,0.012615217705339,0.0747687177768416,Down after KD
Kirrel3,0.550848948109196,0.0115105429812129,0.0697236988780024,Up after KD
Spa17,0.833330504813963,0.03310982849921,0.147509650404921,Up after KD
Sorl1,0.761847655595579,4.00314998289689e-7,1.46997656514822e-5,Up after KD
Sema7a,-0.738788541221639,1.4361724766311e-12,1.76888576705063e-10,Down after KD
Coro2b,0.645119370754029,2.97401363504343e-7,1.14743060166232e-5,Up after KD
Sema3b,2.46682156181241,0.0102555743813314,0.0640919193894623,Up after KD
Sema3f,0.550540050099531,1.22464321343314e-8,7.09812811550659e-7,Up after KD
Col7a1,-0.71144209983233,1.15185275332655e-4,0.00189159818824071,Down after KD
Nhsl2,1.38465752806672,0.00989476550585863,0.0623312239431393,Up after KD
Pcdh19,-0.695749350381164,8.08183538020979e-17,1.70642181313572e-14,Down after KD
Bex1,-0.680790190699957,3.43087023267038e-37,3.12050843316112e-34,Down after KD
Tbc1d8b,0.959560480826805,0.0131061233779158,0.0766024729710708,Up after KD
Lrch2,-0.500834193764153,1.56320230005163e-4,0.0024448814809273,Down after KD
Kctd12b,1.11371930401918,0.00815701354585507,0.0536719689294326,Up after KD
Mbtps2,-0.531719420307808,0.0391665655439773,0.164765116810075,Down after KD
Nhs,0.667279778734073,0.0201511029009684,0.104548767310685,Up after KD
