"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC16A9",5.45596094099403e-56,-0.360011574377589,0.033,0.167,1.99693626401323e-51
"NDST4",8.27620042268545e-56,0.417688000187929,0.113,0.016,3.0291721167071e-51
"PPARA",8.78030562399513e-56,-0.30699940761324,0.074,0.236,3.21367966143846e-51
"MORF4L2",9.04687100228093e-56,0.642389513958681,0.378,0.213,3.31124525554484e-51
"GIPC2",9.30794152592824e-56,0.354562178132454,0.172,0.048,3.40679967790499e-51
"LINC01572",1.09072458142579e-55,-0.496552428062948,0.161,0.347,3.99216104047653e-51
"WDR41",1.19505511268021e-55,-0.3453115658512,0.186,0.379,4.37402121792085e-51
"CHKA",1.20060305018422e-55,-0.334820549659859,0.284,0.497,4.39432722397926e-51
"CELF6",1.49204103541465e-55,0.432302192344702,0.159,0.041,5.46101939372116e-51
"CNKSR3",1.56376388190479e-55,-0.262795859147801,0.036,0.173,5.72353218415971e-51
"HUWE1",1.56739822403959e-55,-0.401781012379064,0.298,0.5,5.7368342398073e-51
"PICALM",1.58051684546911e-55,-0.554293256946128,0.599,0.787,5.78484970610148e-51
"FRMD4B",1.71935321867718e-55,-0.913024392999823,0.235,0.426,6.29300471568033e-51
"IGF1",2.36093343038532e-55,0.420695167020513,0.205,0.066,8.64125244855333e-51
"IGF2R",2.42694768607854e-55,-0.389498793491543,0.12,0.292,8.88287122581606e-51
