"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RTTN",2.28296127328199e-38,-0.513934709989971,0.189,0.313,8.3558665563394e-34
"FHIT",2.67234247867326e-38,0.493740269075002,0.716,0.714,9.78104070619202e-34
"MIR99AHG",2.86886277036849e-38,0.511813448923584,0.735,0.782,1.05003246258257e-33
"SATB2",2.91730428957862e-38,-0.440690753420592,0.068,0.157,1.06776254302867e-33
"CIT",3.3437624475592e-38,-0.265301791979286,0.159,0.28,1.22385049343114e-33
"RAPH1",3.36627041140393e-38,-0.257564092405605,0.223,0.361,1.23208863327795e-33
"C2CD5",3.94710902160959e-38,-0.257585973748088,0.345,0.482,1.44468137299933e-33
"SNRPN",4.04655245853564e-38,-0.309046555896411,0.147,0.262,1.48107866534863e-33
"GLS",4.98877594677665e-38,-0.283319646766613,0.375,0.509,1.82594188427972e-33
"ZNF98",6.95111137783331e-38,0.964684615047659,0.214,0.119,2.54417627540077e-33
"COL16A1",1.3081669624463e-37,0.350702434573117,0.201,0.107,4.78802189924968e-33
"GJA1",1.47722309344671e-37,0.576966184476955,0.218,0.121,5.40678424432429e-33
"NEDD4L",1.51118306468728e-37,-0.286690207458113,0.271,0.404,5.53108113506192e-33
"SRGAP2C",1.52155731848962e-37,-0.253969677056733,0.186,0.317,5.56905194140386e-33
"PCLO",2.00141291133861e-37,-0.569422443624554,0.198,0.307,7.32537139679045e-33
"ANKFY1",2.0657250352515e-37,-0.257258171672366,0.194,0.324,7.560760201524e-33
"AGBL4",2.12124067488959e-37,-0.500800529326804,0.218,0.334,7.76395299416338e-33
"SND1",3.22062750163391e-37,-0.257292213634027,0.263,0.403,1.17878187187303e-32
"RPL41",3.74904600282247e-37,-0.251937189063687,0.288,0.433,1.37218832749305e-32
"RTN1",4.05815108370146e-37,-0.285340426350398,0.302,0.432,1.48532387814557e-32
"MYRIP",4.75797772180932e-37,-0.365406966238937,0.178,0.297,1.74146742595943e-32
"SPTBN4",8.35559779802774e-37,-0.373928420253556,0.23,0.35,3.05823235005613e-32
"QKI",8.77048098108355e-37,0.250051444039276,0.891,0.871,3.21008374388639e-32
"MEG3",1.10766480565871e-36,-0.745993121878481,0.308,0.41,4.05416395519145e-32
"SCAI",1.18589803446893e-36,-0.317424893041201,0.274,0.397,4.34050539595975e-32
"SLIT1",3.62240080938461e-36,-0.284382055224638,0.073,0.161,1.32583492024286e-31
"MALRD1",4.28942757235603e-36,0.375616389797973,0.139,0.063,1.56997338575803e-31
