Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
93	Sodium Channel Regulator Activity (GO:0017080)	1/34	0.153925051186576	0.242350080591631	0	0	6.20712277413308	11.6153235212567	SGK1
94	Solute:Sodium Symporter Activity (GO:0015370)	1/34	0.153925051186576	0.242350080591631	0	0	6.20712277413308	11.6153235212567	SLC20A1
95	Peptidase Inhibitor Activity (GO:0030414)	1/37	0.16632308175121	0.256414751033115	0	0	5.68900343642612	10.2050658175397	TIMP1
96	Calcium Channel Regulator Activity (GO:0005246)	1/37	0.16632308175121	0.256414751033115	0	0	5.68900343642612	10.2050658175397	SGK1
97	Sulfotransferase Activity (GO:0008146)	1/38	0.170415664003625	0.260015652294191	0	0	5.53496795764837	9.79420740811632	UST
98	Transcription Corepressor Binding (GO:0001222)	1/42	0.186588079472826	0.278939755171498	0	0	4.99396530047775	8.38412801034847	LEF1
99	Promoter-Specific Chromatin Binding (GO:1990841)	1/42	0.186588079472826	0.278939755171498	0	0	4.99396530047775	8.38412801034847	EGR1
100	Adenyl Ribonucleotide Binding (GO:0032559)	3/309	0.193423106773812	0.285093230781693	0	0	2.02229102167183	3.32237182028398	CDK6;PDE4B;LMTK2
101	CCR Chemokine Receptor Binding (GO:0048020)	1/44	0.194556866952372	0.285093230781693	0	0	4.76120834332294	7.79424462505968	CCL2
102	Potassium Channel Regulator Activity (GO:0015459)	1/45	0.198512234418639	0.28524088052387	0	0	4.65276476101218	7.52307649542604	SGK1
103	Damaged DNA Binding (GO:0003684)	1/45	0.198512234418639	0.28524088052387	0	0	4.65276476101218	7.52307649542604	UNG
104	Transcription Cis-Regulatory Region Binding (GO:0000976)	4/474	0.203222625801363	0.289201429025017	0	0	1.75934812132187	2.80343893259068	EGR1;TFAP4;LEF1;TWIST2
105	Manganese Ion Binding (GO:0030145)	1/48	0.210263345847865	0.296371192242705	0	0	4.35512173722308	6.79135291022147	FAM20C
106	Double-Stranded DNA Binding (GO:0003690)	5/650	0.213920623808664	0.298681625695116	0	0	1.60515128782196	2.47538445907832	EGR1;KLF5;TFAP4;LEF1;ETS2
107	E-box Binding (GO:0070888)	1/51	0.221843899359967	0.306849505656776	0	0	4.09319587628866	6.16345780970175	TFAP4
108	Monoatomic Anion Channel Activity (GO:0005253)	1/53	0.229470725457018	0.314459883033691	0	0	3.93536875495638	5.79278337399955	LRRC8B
109	Myosin Binding (GO:0017022)	1/54	0.233256345315337	0.31671503767587	0	0	3.86092199961097	5.6200246083287	LMTK2
110	Protein Serine/Threonine Phosphatase Activity (GO:0004722)	1/55	0.237023555188155	0.318904419707699	0	0	3.78923253150057	5.45496306253257	DUSP4
111	Secondary Active Transmembrane Transporter Activity (GO:0015291)	1/60	0.255586542058164	0.340782056077553	0	0	3.46723746286912	4.72998527230235	SLC20A1
112	Protein Phosphatase Regulator Activity (GO:0019888)	1/61	0.259245138359458	0.342573932832141	0	0	3.40927835051546	4.60246162680604	LMTK2
113	PDZ Domain Binding (GO:0030165)	1/62	0.26288593622232	0.344310783724809	0	0	3.3532195369275	4.48001880974068	CXADR
114	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	2/224	0.300367079965004	0.389950244165093	0	0	1.84684684684685	2.22129495719207	EGR1;TFAP4
115	Hormone Activity (GO:0005179)	1/74	0.30521801866585	0.392455789783874	0	0	2.80031069058043	3.3232097443237	METRNL
116	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	2/228	0.307600483884658	0.392455789783874	0	0	1.81379056047198	2.13837467195629	BEX1;ETS2
117	Cytokine Receptor Activity (GO:0004896)	1/76	0.312035522484656	0.394711601091701	0	0	2.72536082474227	3.17405944392982	IL18RAP
118	Ubiquitin Binding (GO:0043130)	1/80	0.325472505417683	0.408219752557772	0	0	2.58684588281352	2.9036757553192	DNAAF10
119	Ribosome Binding (GO:0043022)	1/85	0.341903948732397	0.425225079095754	0	0	2.43225331369661	2.61035611581952	UNG
120	Heme Binding (GO:0020037)	1/87	0.348365031679959	0.429650205738616	0	0	2.37544953248621	2.50492200145235	STC2
121	Single-Stranded DNA Binding (GO:0003697)	1/96	0.376671510248959	0.460722177825173	0	0	2.14943027672273	2.09866459602356	MCM10
122	Transcription Coregulator Binding (GO:0001221)	1/99	0.385833816882752	0.464121073119612	0	0	2.08331580054702	1.98404273690761	LEF1
123	Transition Metal Ion Binding (GO:0046914)	3/456	0.38735031572882	0.464121073119612	0	0	1.35580341582433	1.28587892140607	EGR1;FAM20C;TIMP1
124	Cytokine Receptor Binding (GO:0005126)	1/100	0.388858196397513	0.464121073119612	0	0	2.06216807247735	1.94780133547852	LIF
125	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	7/1225	0.394032659742523	0.46475513641156	0	0	1.17999242137173	1.09895228869978	EGR1;FOXD1;KLF5;TFAP4;LEF1;TWIST2;ETS2
126	ATP Binding (GO:0005524)	2/279	0.397956934498403	0.46475513641156	0	0	1.47600782190132	1.360010558061	CDK6;LMTK2
127	Carboxylic Ester Hydrolase Activity (GO:0052689)	1/104	0.400809004398637	0.46475513641156	0	0	1.98168351516365	1.81179430938287	PTRH1
128	DNA-binding Transcription Factor Binding (GO:0140297)	2/282	0.403121930818111	0.46475513641156	0	0	1.45997023809524	1.32640662003312	BEX1;ETS2
129	Phosphatidylinositol Binding (GO:0035091)	1/106	0.406697369770678	0.46475513641156	0	0	1.94374079528719	1.74875625157275	PITPNC1
130	Protein Homodimerization Activity (GO:0042803)	4/662	0.408230863064209	0.46475513641156	0	0	1.24451917480437	1.11499263550888	GGCT;TFAP4;STC2;PDGFB
131	Phosphatase Binding (GO:0019902)	1/112	0.424020977753402	0.475001174100036	0	0	1.83811646698245	1.5770531031709	CSRNP2
132	Endopeptidase Inhibitor Activity (GO:0004866)	1/112	0.424020977753402	0.475001174100036	0	0	1.83811646698245	1.5770531031709	TIMP1
133	Deubiquitinase Activity (GO:0101005)	1/113	0.426859163211519	0.475001174100036	0	0	1.82161266568483	1.55074095479009	STAMBPL1
