"SYMBOL","log2FC_Male","pvalue_Male","padj_Male","log2FC_Female","pvalue_Female","padj_Female"
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.861027905047372,0.788112917452069,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01086661421598,0.71604093491386,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.513847605229397,0.802419806576173,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.978745249412679,0.731053672360514,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.149010352795783,0.733989938891057,0.884175718176111
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.536847569282948,0.382799686113906,0.648042007850095
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.529968868143392,0.880668221779724,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-1.05247671531799,0.352167797861443,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.529971309778248,0.768726363859223,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.860396683989818,0.61828048778096,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.68982908031884,0.654871863207749,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01085824440788,0.837463761984184,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490735330969065,0.988621557101007,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.827429490440124,0.461903140750888,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.529971024574038,0.798846767269287,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.227225335349569,0.860132084105202,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.160461814206845,0.782999144659176,0.907131284190682
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.501863153985084,0.81118735015749,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490736375210069,0.985783675476929,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01085824440788,0.837463761984184,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0283495856916713,0.986418110017545,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01293641115798,0.136026536092389,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.160249829372746,0.868995812061736,NA
